Id	LotFrontage	LotArea	Street	Neighborhood	YearBuilt	YearRemodAdd	CentralAir	PavedDrive	SaleCondition	SalePrice
32	NA	8544	Pave	Sawyer	1966	2006	Y	Y	Normal	149350
33	85	11049	Pave	CollgCr	2007	2007	Y	Y	Normal	179900
34	70	10552	Pave	NAmes	1959	1959	Y	Y	Normal	165500
35	60	7313	Pave	NridgHt	2005	2005	Y	Y	Normal	277500
36	108	13418	Pave	NridgHt	2004	2005	Y	Y	Normal	309000
37	112	10859	Pave	CollgCr	1994	1995	Y	Y	Normal	145000
38	74	8532	Pave	NAmes	1954	1990	Y	Y	Normal	153000
39	68	7922	Pave	NAmes	1953	2007	Y	Y	Abnorml	109000
40	65	6040	Pave	Edwards	1955	1955	N	N	AdjLand	82000
41	84	8658	Pave	NAmes	1965	1965	Y	Y	Abnorml	160000
42	115	16905	Pave	Timber	1959	1959	Y	P	Normal	170000
43	NA	9180	Pave	SawyerW	1983	1983	Y	Y	Normal	144000
44	NA	9200	Pave	CollgCr	1975	1980	Y	Y	Normal	130250
45	70	7945	Pave	NAmes	1959	1959	Y	Y	Normal	141000
46	61	7658	Pave	NridgHt	2005	2005	Y	Y	Normal	319900
47	48	12822	Pave	Mitchel	2003	2003	Y	Y	Abnorml	239686
48	84	11096	Pave	Somerst	2006	2006	Y	Y	Normal	249700
49	33	4456	Pave	OldTown	1920	2008	Y	N	Partial	113000
50	66	7742	Pave	Sawyer	1966	1966	Y	Y	Normal	127000
51	NA	13869	Pave	Gilbert	1997	1997	Y	Y	Normal	177000
52	52	6240	Pave	BrkSide	1934	1950	Y	Y	Normal	114500
53	110	8472	Grvl	IDOTRR	1963	1963	N	Y	Normal	110000
54	68	50271	Pave	Veenker	1981	1987	Y	Y	Normal	385000
55	60	7134	Pave	NAmes	1955	1955	Y	Y	Normal	130000
56	100	10175	Pave	NAmes	1964	1964	Y	Y	Normal	180500
57	24	2645	Pave	Somerst	1999	2000	Y	Y	Abnorml	172500
58	89	11645	Pave	CollgCr	2004	2004	Y	Y	Normal	196500
59	66	13682	Pave	StoneBr	2006	2006	Y	Y	Partial	438780
60	60	7200	Pave	CollgCr	1972	1972	Y	Y	Normal	124900
61	63	13072	Pave	SawyerW	2004	2004	Y	Y	Partial	158000
62	60	7200	Pave	IDOTRR	1920	1996	N	N	Normal	101000
63	44	6442	Pave	NridgHt	2006	2006	Y	Y	Normal	202500
64	50	10300	Pave	OldTown	1921	1950	Y	Y	Normal	140000
65	NA	9375	Pave	CollgCr	1997	1998	Y	Y	Normal	219500
66	76	9591	Pave	NridgHt	2004	2005	Y	Y	Normal	317000
67	NA	19900	Pave	NAmes	1970	1989	Y	Y	Normal	180000
68	72	10665	Pave	CollgCr	2003	2003	Y	Y	Normal	226000
69	47	4608	Pave	OldTown	1945	1950	Y	Y	Normal	80000
70	81	15593	Pave	ClearCr	1953	1953	Y	Y	Normal	225000
71	95	13651	Pave	NAmes	1973	1973	Y	Y	Normal	244000
72	69	7599	Pave	Mitchel	1982	2006	Y	Y	Normal	129500
73	74	10141	Pave	Gilbert	1998	1998	Y	Y	Normal	185000
74	85	10200	Pave	NAmes	1954	2003	Y	Y	Normal	144900
75	60	5790	Pave	OldTown	1915	1950	N	Y	Normal	107400
76	21	1596	Pave	MeadowV	1973	1973	Y	Y	Normal	91000
77	NA	8475	Pave	NAmes	1956	1956	Y	Y	Normal	135750
78	50	8635	Pave	BrkSide	1948	2001	Y	Y	Normal	127000
79	72	10778	Pave	Sawyer	1968	1968	N	Y	Normal	136500
80	60	10440	Pave	OldTown	1910	1981	Y	Y	Normal	110000
81	100	13000	Pave	NAmes	1968	1968	Y	Y	Normal	193500
82	32	4500	Pave	Mitchel	1998	1998	Y	Y	Normal	153500
83	78	10206	Pave	Somerst	2007	2007	Y	Y	Normal	245000
84	80	8892	Pave	NAmes	1960	1960	Y	Y	Normal	126500
85	NA	8530	Pave	Gilbert	1995	1996	Y	Y	Normal	168500
86	121	16059	Pave	NoRidge	1991	1992	Y	Y	Normal	260000
87	122	11911	Pave	Gilbert	2005	2005	Y	Y	Normal	174000
88	40	3951	Pave	Somerst	2009	2009	Y	Y	Partial	164500
89	105	8470	Pave	IDOTRR	1915	1982	N	N	Abnorml	85000
90	60	8070	Pave	CollgCr	1994	1995	Y	Y	Normal	123600
91	60	7200	Pave	NAmes	1950	1950	Y	Y	Normal	109900
92	85	8500	Pave	NAmes	1961	1961	Y	Y	Abnorml	98600
93	80	13360	Pave	Crawfor	1921	2006	Y	Y	Normal	163500
94	60	7200	Pave	OldTown	1910	1998	N	Y	Normal	133900
95	69	9337	Pave	CollgCr	1997	1997	Y	Y	Normal	204750
96	NA	9765	Pave	Gilbert	1993	1993	Y	Y	Normal	185000
97	78	10264	Pave	CollgCr	1999	1999	Y	Y	Normal	214000
98	73	10921	Pave	Edwards	1965	1965	Y	P	Normal	94750
99	85	10625	Pave	Edwards	1920	1950	N	Y	Abnorml	83000
100	77	9320	Pave	NAmes	1959	1959	Y	Y	Normal	128950
101	NA	10603	Pave	NWAmes	1977	2001	Y	Y	Normal	205000
102	77	9206	Pave	SawyerW	1985	1985	Y	Y	Normal	178000
103	64	7018	Pave	SawyerW	1979	1979	Y	Y	Alloca	118964
104	94	10402	Pave	CollgCr	2009	2009	Y	Y	Normal	198900
105	NA	7758	Pave	IDOTRR	1931	1950	Y	Y	Normal	169500
106	75	9375	Pave	Somerst	2003	2004	Y	Y	Normal	250000
107	60	10800	Pave	OldTown	1885	1995	Y	N	Normal	100000
108	50	6000	Pave	OldTown	1948	1950	Y	Y	Partial	115000
109	85	8500	Pave	IDOTRR	1919	2005	N	N	Normal	115000
110	105	11751	Pave	NWAmes	1977	1977	Y	Y	Normal	190000
111	75	9525	Pave	Edwards	1954	1972	Y	Y	Normal	136900
112	NA	7750	Pave	Gilbert	2000	2000	Y	Y	Normal	180000
113	77	9965	Pave	CollgCr	2007	2007	Y	Y	Partial	383970
114	NA	21000	Pave	Crawfor	1953	1953	Y	Y	Abnorml	217000
115	61	7259	Pave	Crawfor	1945	2002	Y	Y	Normal	259500
116	34	3230	Pave	Somerst	1999	1999	Y	Y	Normal	176000
117	NA	11616	Pave	Sawyer	1962	1962	Y	Y	Normal	139000
118	74	8536	Pave	Edwards	2006	2007	Y	Y	Partial	155000
119	90	12376	Pave	SawyerW	1990	1990	Y	Y	Normal	320000
120	65	8461	Pave	CollgCr	2005	2006	Y	Y	Partial	163990
121	NA	21453	Pave	ClearCr	1969	1969	Y	Y	Normal	180000
122	50	6060	Pave	IDOTRR	1939	1950	Y	P	Normal	100000
123	75	9464	Pave	NAmes	1958	1958	Y	Y	Normal	136000
124	55	7892	Pave	SawyerW	1993	1993	Y	Y	Normal	153900
125	48	17043	Pave	NWAmes	1979	1998	Y	Y	Normal	181000
126	60	6780	Pave	IDOTRR	1935	1982	N	N	Normal	84500
127	NA	4928	Pave	NPkVill	1976	1976	Y	Y	Normal	128000
128	55	4388	Pave	OldTown	1930	1950	Y	N	Normal	87000
129	69	7590	Pave	NAmes	1966	1966	Y	Y	Normal	155000
130	69	8973	Pave	NAmes	1958	1991	Y	Y	Abnorml	150000
131	88	14200	Pave	NAmes	1966	1966	Y	Y	Normal	226000
132	NA	12224	Pave	Gilbert	2000	2000	Y	Y	Normal	244000
133	75	7388	Pave	NAmes	1959	2002	Y	Y	Normal	150750
134	NA	6853	Pave	Timber	2001	2002	Y	Y	Normal	220000
135	78	10335	Pave	Sawyer	1968	1993	Y	Y	Normal	180000
136	80	10400	Pave	NWAmes	1970	1970	Y	Y	Normal	174000
137	NA	10355	Pave	NAmes	1967	1967	Y	Y	Normal	143000
138	82	11070	Pave	Mitchel	1988	1989	Y	Y	Family	171000
139	73	9066	Pave	CollgCr	1999	2000	Y	Y	Normal	230000
140	65	15426	Pave	CollgCr	1997	1997	Y	Y	Normal	231500
141	70	10500	Pave	NAmes	1971	1971	Y	Y	Normal	115000
142	78	11645	Pave	CollgCr	2005	2005	Y	Y	Normal	260000
143	71	8520	Pave	NAmes	1952	1952	Y	Y	Normal	166000
144	78	10335	Pave	CollgCr	1999	1999	Y	Y	Normal	204000
145	70	9100	Pave	Sawyer	1963	1963	Y	Y	Abnorml	125000
146	24	2522	Pave	Edwards	2004	2006	Y	Y	Normal	130000
147	51	6120	Pave	BrkSide	1931	1993	Y	Y	Normal	105000
148	NA	9505	Pave	Gilbert	2001	2001	Y	Y	Normal	222500
149	63	7500	Pave	SawyerW	2004	2005	Y	Y	Normal	141000
150	NA	6240	Pave	BrkSide	1936	1950	Y	Y	Normal	115000
151	120	10356	Pave	CollgCr	1975	1975	Y	Y	Normal	122000
152	107	13891	Pave	NridgHt	2007	2008	Y	Y	Partial	372402
153	NA	14803	Pave	NWAmes	1971	1971	Y	Y	Normal	190000
154	NA	13500	Pave	ClearCr	1960	1975	Y	Y	Normal	235000
155	84	11340	Pave	OldTown	1923	1950	Y	Y	Family	125000
156	60	9600	Pave	Edwards	1924	1950	N	N	Normal	79000
157	60	7200	Pave	NAmes	1950	1950	Y	Y	Normal	109500
158	92	12003	Pave	Timber	2009	2010	Y	Y	Partial	269500
159	100	12552	Pave	Somerst	2004	2005	Y	Y	Normal	254900
160	134	19378	Pave	Gilbert	2005	2006	Y	Y	Partial	320000
161	NA	11120	Pave	Veenker	1984	1984	Y	Y	Normal	162500
162	110	13688	Pave	NridgHt	2003	2004	Y	Y	Normal	412500
163	95	12182	Pave	NridgHt	2005	2005	Y	Y	Partial	220000
164	55	5500	Pave	OldTown	1956	1956	Y	Y	Normal	103200
165	40	5400	Pave	OldTown	1926	2004	Y	Y	Normal	152000
166	62	10106	Pave	Edwards	1940	1999	Y	Y	Normal	127500
167	NA	10708	Pave	ClearCr	1955	1993	Y	Y	Normal	190000
168	86	10562	Pave	NridgHt	2007	2007	Y	Y	Partial	325624
169	62	8244	Pave	Gilbert	2004	2004	Y	Y	Normal	183500
170	NA	16669	Pave	Timber	1981	1981	Y	Y	Normal	228000
171	NA	12358	Pave	OldTown	1941	1950	Y	Y	Normal	128500
172	141	31770	Pave	NAmes	1960	1960	Y	P	Normal	215000
173	44	5306	Pave	StoneBr	1987	1987	Y	Y	Normal	239000
174	80	10197	Pave	NAmes	1961	1961	Y	Y	Normal	163000
175	47	12416	Pave	Timber	1986	1986	Y	Y	Normal	184000
176	84	12615	Pave	Edwards	1950	2001	Y	Y	Normal	243000
177	97	10029	Pave	ClearCr	1988	1989	Y	Y	Normal	211000
178	NA	13650	Pave	Sawyer	1958	1958	Y	Y	Normal	172500
179	63	17423	Pave	StoneBr	2008	2009	Y	Y	Partial	501837
180	60	8520	Pave	OldTown	1923	2006	Y	N	Normal	100000
181	NA	2117	Pave	Somerst	2000	2000	Y	Y	Normal	177000
182	54	7588	Pave	Crawfor	1920	1950	Y	Y	Normal	200100
183	60	9060	Pave	Edwards	1957	2006	Y	Y	Normal	120000
184	63	11426	Pave	OldTown	2003	2003	Y	N	Normal	200000
185	92	7438	Pave	BrkSide	1908	1991	Y	Y	Normal	127000
186	90	22950	Pave	OldTown	1892	1993	Y	Y	Normal	475000
187	NA	9947	Pave	Mitchel	1990	1991	Y	Y	Normal	173000
188	60	10410	Pave	OldTown	1916	1987	Y	N	Normal	135000
189	64	7018	Pave	SawyerW	1979	1979	Y	Y	Alloca	153337
190	41	4923	Pave	StoneBr	2001	2002	Y	Y	Normal	286000
191	70	10570	Pave	Crawfor	1932	1994	Y	Y	Normal	315000
192	NA	7472	Pave	NAmes	1972	2004	Y	Y	Normal	184000
193	68	9017	Pave	CollgCr	1999	1999	Y	Y	Normal	192000
194	24	2522	Pave	Edwards	2004	2004	Y	Y	Normal	130000
195	60	7180	Pave	CollgCr	1972	1972	Y	Y	Normal	127000
196	24	2280	Pave	NPkVill	1976	1976	Y	Y	Normal	148500
197	79	9416	Pave	Somerst	2007	2007	Y	Y	Partial	311872
198	174	25419	Pave	NAmes	1918	1990	Y	Y	Abnorml	235000
199	92	5520	Pave	OldTown	1912	1950	Y	Y	Abnorml	104000
200	76	9591	Pave	NridgHt	2004	2005	Y	Y	Normal	274900
201	80	8546	Pave	Edwards	2003	2004	Y	Y	Normal	140000
202	75	10125	Pave	Mitchel	1977	1977	Y	Y	Normal	171500
203	50	7000	Pave	OldTown	1924	1950	Y	Y	Normal	112000
204	NA	4438	Pave	CollgCr	2004	2004	Y	Y	Normal	149000
205	50	3500	Pave	OldTown	1947	1950	Y	Y	Normal	110000
206	99	11851	Pave	Gilbert	1990	1990	Y	Y	Normal	180500
207	40	13673	Pave	Sawyer	1962	1962	Y	Y	Normal	143900
208	NA	12493	Pave	NAmes	1960	1960	Y	Y	Normal	141000
209	NA	14364	Pave	SawyerW	1988	1989	Y	Y	Normal	277000
210	75	8250	Pave	NAmes	1964	1964	Y	Y	Normal	145000
211	67	5604	Pave	Edwards	1925	1950	N	Y	Normal	98000
212	83	10420	Pave	Edwards	2009	2009	Y	Y	Normal	186000
213	72	8640	Pave	Somerst	2009	2009	Y	Y	Partial	252678
214	43	13568	Pave	CollgCr	1995	1995	Y	Y	Normal	156000
215	NA	10900	Pave	CollgCr	1977	1977	Y	Y	Normal	161750
216	72	10011	Pave	NAmes	1957	1996	Y	Y	Normal	134450
217	65	8450	Pave	CollgCr	2004	2004	Y	Y	Normal	210000
218	57	9906	Pave	OldTown	1925	1950	N	Y	Family	107000
219	NA	15660	Pave	Crawfor	1939	2006	Y	Y	Normal	311500
220	43	3010	Pave	Blmngtn	2005	2006	Y	Y	Partial	167240
221	73	8990	Pave	CollgCr	2006	2006	Y	Y	Partial	204900
222	NA	8068	Pave	Gilbert	2002	2002	Y	Y	Normal	200000
223	85	11475	Pave	NWAmes	1975	1975	Y	Y	Normal	179900
224	70	10500	Pave	NAmes	1971	1971	Y	Y	Abnorml	97000
225	103	13472	Pave	NridgHt	2003	2003	Y	Y	Normal	386250
226	21	1680	Pave	BrDale	1971	1971	Y	Y	Abnorml	112000
227	82	9950	Pave	NoRidge	1995	1995	Y	Y	Abnorml	290000
228	21	1869	Pave	BrDale	1970	1970	Y	Y	Normal	106000
229	70	8521	Pave	Sawyer	1967	1967	Y	Y	Normal	125000
230	43	3182	Pave	Blmngtn	2005	2006	Y	Y	Normal	192500
231	73	8760	Pave	NAmes	1959	1959	Y	Y	Normal	148000
232	174	15138	Pave	NoRidge	1995	1996	Y	Y	Normal	403000
233	21	1680	Pave	BrDale	1972	1972	Y	Y	Normal	94500
234	75	10650	Pave	CollgCr	1976	1976	Y	Y	Normal	128200
235	NA	7851	Pave	Gilbert	2002	2002	Y	Y	Normal	216500
236	21	1680	Pave	BrDale	1971	1971	Y	Y	Normal	89500
237	65	8773	Pave	CollgCr	2004	2004	Y	Y	Normal	185500
238	NA	9453	Pave	SawyerW	1993	2003	Y	Y	Normal	194500
239	93	12030	Pave	NridgHt	2007	2007	Y	Y	Partial	318000
240	52	8741	Pave	Edwards	1945	1950	Y	Y	Normal	113000
241	75	9000	Pave	Somerst	2008	2008	Y	Y	Normal	262500
242	40	3880	Pave	OldTown	1945	1997	Y	Y	Normal	110500
243	63	5000	Pave	OldTown	1900	1950	N	Y	Normal	79000
244	75	10762	Pave	SawyerW	1980	1980	Y	Y	Normal	120000
245	NA	8880	Pave	SawyerW	1994	2002	Y	Y	Normal	205000
246	80	10400	Pave	NWAmes	1988	1988	Y	Y	Normal	241500
247	69	9142	Pave	OldTown	1910	1950	N	Y	Normal	137000
248	75	11310	Pave	NAmes	1954	1954	Y	Y	Normal	140000
249	72	11317	Pave	CollgCr	2003	2003	Y	Y	Normal	180000
250	NA	159000	Pave	ClearCr	1958	2006	Y	Y	Normal	277000
251	55	5350	Pave	BrkSide	1940	1966	Y	Y	Normal	76500
252	44	4750	Pave	Crawfor	2006	2007	Y	Y	Family	235000
253	65	8366	Pave	SawyerW	2004	2004	Y	Y	Normal	173000
254	85	9350	Pave	NAmes	1964	1991	Y	Y	Normal	158000
255	70	8400	Pave	NAmes	1957	1957	Y	Y	Normal	145000
256	66	8738	Pave	Gilbert	1999	1999	Y	Y	Normal	230000
257	64	8791	Pave	Somerst	2003	2003	Y	Y	Normal	207500
258	68	8814	Pave	CollgCr	2006	2006	Y	Y	Abnorml	220000
259	80	12435	Pave	CollgCr	2001	2001	Y	Y	Normal	231500
260	70	12702	Pave	OldTown	1956	1956	Y	Y	Normal	97000
261	120	19296	Pave	NAmes	1962	1962	Y	Y	Normal	176000
262	69	9588	Pave	CollgCr	2007	2007	Y	Y	Partial	276000
263	88	8471	Pave	Sawyer	1977	1995	Y	Y	Normal	151000
264	50	5500	Pave	OldTown	1929	2001	Y	Y	Normal	130000
265	30	5232	Pave	OldTown	1925	2004	N	N	Normal	73000
266	78	12090	Pave	NWAmes	1981	1981	Y	Y	Normal	175500
267	70	11207	Pave	Gilbert	1997	1997	Y	Y	Normal	185000
268	60	8400	Pave	SWISU	1939	1997	Y	Y	Normal	179500
269	71	6900	Pave	IDOTRR	1940	1955	Y	Y	Normal	120500
270	NA	7917	Pave	Edwards	1976	1976	Y	Y	Normal	148000
271	84	10728	Pave	Somerst	2006	2006	Y	Y	Partial	266000
272	73	39104	Pave	ClearCr	1954	2005	Y	Y	Normal	241500
273	92	11764	Pave	NoRidge	1999	2007	Y	Y	Normal	290000
274	80	9600	Pave	NAmes	1958	1988	Y	Y	Normal	139000
275	76	8314	Pave	Mitchel	1982	1982	Y	Y	Normal	124500
276	55	7264	Pave	BrkSide	1925	2007	N	Y	Normal	205000
277	129	9196	Pave	Mitchel	2003	2003	Y	Y	Normal	201000
278	140	19138	Pave	Gilbert	1951	1951	Y	Y	Normal	141000
279	107	14450	Pave	NridgHt	2006	2007	Y	Y	Partial	415298
280	83	10005	Pave	ClearCr	1977	1977	Y	Y	Normal	192000
281	82	11287	Pave	SawyerW	1989	1989	Y	Y	Normal	228500
282	60	7200	Pave	Somerst	2006	2006	Y	Y	Partial	185000
283	34	5063	Pave	NridgHt	2007	2008	Y	Y	Normal	207500
284	74	9612	Pave	Somerst	2008	2009	Y	Y	Partial	244600
285	50	8012	Pave	SawyerW	1992	1992	Y	Y	Normal	179200
286	35	4251	Pave	Somerst	2006	2007	Y	Y	Partial	164700
287	77	9786	Pave	NAmes	1962	1981	Y	Y	Normal	159000
288	NA	8125	Pave	NAmes	1971	1971	Y	Y	Normal	88000
289	NA	9819	Pave	Sawyer	1967	1967	Y	Y	Normal	122000
290	60	8730	Pave	BrkSide	1915	2003	Y	Y	Normal	153575
291	120	15611	Pave	CollgCr	2006	2006	Y	Y	Partial	233230
292	55	5687	Pave	SWISU	1912	2000	N	N	Normal	135900
293	60	11409	Pave	Edwards	1949	2008	Y	Y	Normal	131000
294	NA	16659	Pave	NWAmes	1977	1994	Y	Y	Normal	235000
295	80	9600	Pave	NAmes	1953	1953	Y	Y	Normal	167000
296	37	7937	Pave	Mitchel	1984	1984	Y	Y	Normal	142500
297	75	13710	Pave	IDOTRR	1950	1950	Y	Y	Normal	152000
298	66	7399	Pave	Somerst	1997	1998	Y	Y	Normal	239000
299	90	11700	Pave	NWAmes	1968	1968	Y	Y	Normal	175000
300	80	14000	Pave	Crawfor	1950	2004	Y	Y	Family	158500
301	90	15750	Pave	Crawfor	1953	1953	Y	Y	Normal	157000
302	66	16226	Pave	CollgCr	1998	1999	Y	Y	Normal	267000
303	118	13704	Pave	CollgCr	2001	2002	Y	Y	Normal	205000
304	70	9800	Pave	CollgCr	1972	1972	Y	Y	Abnorml	149900
305	87	18386	Pave	OldTown	1880	2002	Y	Y	Normal	295000
306	80	10386	Pave	CollgCr	2004	2005	Y	Y	Normal	305900
307	116	13474	Pave	SawyerW	1990	1991	Y	Y	Normal	225000
308	NA	7920	Pave	IDOTRR	1920	1950	Y	N	Normal	89500
309	NA	12342	Pave	Edwards	1940	1950	Y	Y	Normal	82500
310	90	12378	Pave	NridgHt	2003	2004	Y	Y	Normal	360000
311	NA	7685	Pave	Gilbert	1993	1994	Y	Y	Normal	165600
312	50	8000	Pave	NAmes	1948	2002	Y	Y	Normal	132000
313	65	7800	Pave	OldTown	1939	1950	Y	Y	Normal	119900
314	150	215245	Pave	Timber	1965	1965	Y	Y	Normal	375000
315	60	9600	Pave	OldTown	1925	1990	Y	Y	Normal	178000
316	71	7795	Pave	Gilbert	2004	2005	Y	Y	Normal	188500
317	94	13005	Pave	NWAmes	1980	1980	Y	Y	Normal	260000
318	75	9000	Pave	Somerst	2006	2006	Y	Y	Normal	270000
319	90	9900	Pave	NoRidge	1993	1993	Y	Y	Normal	260000
320	NA	14115	Pave	NWAmes	1980	1980	Y	Y	Normal	187500
321	111	16259	Pave	NridgHt	2006	2006	Y	Y	Partial	342643
322	99	12099	Pave	NridgHt	2004	2004	Y	Y	Normal	354000
323	86	10380	Pave	SawyerW	1986	1987	Y	Y	Normal	301000
324	49	5820	Pave	OldTown	1955	2005	Y	Y	Normal	126175
325	96	11275	Pave	NAmes	1967	2007	Y	Y	Normal	242000
326	50	5000	Pave	IDOTRR	1941	1950	N	Y	Normal	87000
327	32	10846	Pave	Veenker	1993	1993	Y	Y	Normal	324000
328	80	11600	Pave	NAmes	1960	1960	Y	Y	Normal	145250
329	NA	11888	Pave	BrkSide	1916	1994	N	Y	Normal	214500
330	60	6402	Pave	IDOTRR	1920	1950	N	N	Normal	78000
331	NA	10624	Pave	NAmes	1964	1964	Y	Y	Normal	119000
332	70	8176	Pave	NAmes	1958	1992	Y	Y	Normal	139000
333	85	10655	Pave	NridgHt	2003	2004	Y	Y	Normal	284000
334	59	8198	Pave	NridgHt	2004	2004	Y	Y	Normal	207000
335	59	9042	Pave	Gilbert	1998	1998	Y	Y	Normal	192000
336	NA	164660	Grvl	Timber	1965	1965	Y	Y	Normal	228950
337	86	14157	Pave	StoneBr	2005	2006	Y	Y	Normal	377426
338	70	9135	Pave	CollgCr	2002	2003	Y	Y	Normal	214000
339	91	14145	Pave	NWAmes	1984	1998	Y	Y	Normal	202500
340	66	12400	Pave	NAmes	1958	1998	Y	Y	Normal	155000
341	85	14191	Pave	Timber	2002	2002	Y	Y	Normal	202900
342	60	8400	Pave	SawyerW	1950	1950	Y	N	Normal	82000
343	NA	8544	Pave	NAmes	1949	1950	N	Y	Normal	87500
344	63	8849	Pave	NridgHt	2005	2005	Y	Y	Normal	266000
345	36	2592	Pave	MeadowV	1976	1976	Y	Y	Normal	85000
346	65	6435	Pave	BrkSide	1939	1950	Y	Y	Normal	140200
347	NA	12772	Pave	NAmes	1960	1998	Y	Y	Normal	151500
348	NA	17600	Pave	NAmes	1960	1960	Y	Y	Normal	157500
349	36	2448	Pave	NridgHt	2003	2004	Y	Y	Normal	154000
350	56	20431	Pave	NridgHt	2005	2006	Y	Y	Partial	437154
351	68	7820	Pave	NridgHt	2007	2007	Y	Y	Partial	318061
352	NA	5271	Pave	ClearCr	1986	1986	Y	Y	Abnorml	190000
353	60	9084	Pave	Edwards	1941	1950	N	Y	Normal	95000
354	60	8520	Pave	OldTown	1928	2003	Y	Y	Normal	105900
355	60	8400	Pave	SWISU	1940	2000	Y	Y	Normal	140000
356	105	11249	Pave	CollgCr	1995	1995	Y	Y	Normal	177500
357	NA	9248	Pave	Gilbert	1992	1992	Y	Y	Normal	173000
358	44	4224	Pave	MeadowV	1976	1976	Y	Y	Normal	134000
359	92	6930	Pave	ClearCr	1958	1958	Y	Y	Abnorml	130000
360	78	12011	Pave	NoRidge	1998	1998	Y	Y	Normal	280000
361	NA	7540	Pave	Mitchel	1978	1978	Y	Y	Normal	156000
362	NA	9144	Pave	BrkSide	1940	1982	Y	N	Normal	145000
363	64	7301	Pave	Edwards	2003	2003	Y	Y	Normal	198500
364	21	1680	Pave	BrDale	1972	2007	Y	Y	Normal	118000
365	NA	18800	Pave	NWAmes	1976	1976	Y	Y	Normal	190000
366	59	10690	Pave	IDOTRR	1920	1997	Y	Y	Normal	147000
367	NA	9500	Pave	NAmes	1963	1963	Y	Y	Normal	159000
368	101	9150	Pave	NAmes	1962	1962	Y	Y	Normal	165000
369	78	7800	Pave	NAmes	1954	1954	Y	Y	Normal	132000
370	NA	9830	Pave	NAmes	1959	2006	Y	Y	Normal	162000
371	NA	8121	Pave	Gilbert	2000	2000	Y	Y	Normal	172400
372	80	17120	Pave	ClearCr	1959	1959	Y	N	Normal	134432
373	50	7175	Pave	SawyerW	1984	1984	Y	Y	Normal	125000
374	79	10634	Pave	NAmes	1953	1953	Y	Y	Normal	123000
375	65	8200	Pave	CollgCr	2003	2004	Y	Y	Normal	219500
376	NA	10020	Pave	Edwards	1922	1950	N	Y	Normal	61000
377	57	8846	Pave	CollgCr	1996	1996	Y	Y	Normal	148000
378	102	11143	Pave	Somerst	2004	2005	Y	Y	Normal	340000
379	88	11394	Pave	StoneBr	2010	2010	Y	Y	Partial	394432
380	60	8123	Pave	Gilbert	2000	2000	Y	Y	Normal	179000
381	50	5000	Pave	SWISU	1924	1950	Y	Y	Normal	127000
382	60	7200	Pave	Somerst	2006	2006	Y	Y	Partial	187750
383	79	9245	Pave	CollgCr	2006	2006	Y	Y	Normal	213500
384	60	9000	Pave	SawyerW	1928	1950	N	N	Normal	76000
385	NA	53107	Pave	ClearCr	1992	1992	Y	Y	Normal	240000
386	43	3182	Pave	Blmngtn	2004	2005	Y	Y	Normal	192000
387	58	8410	Pave	Edwards	1910	1996	Y	N	AdjLand	81000
